Gen	gein	Genesis	Genesis
Exo	eax	Exodus	Exodus
Lev	leivi	Leviticus	Leviticus
Num	uimhr	Numbers	Earrooyn
Deu	deot	Deuteronomy	Deuteronomy
Jos	iosua	Joshua	Joshua
Jdg	breit	Judges	Briwnyn
Rut	rut	Ruth	Ruth
Sa1	sam1	1 Samuel	1 Samuel
Sa2	sam2	2 Samuel	2 Samuel
Kg1	rithe1	1 Kings	1 Reeaghyn
Kg2	rithe2	2 Kings	2 Reeaghyn
Ch1	croin1	1 Chronicles	1 Recortyssyn
Ch2	croin2	2 Chronicles	2 Recortyssyn
Ezr	eazra	Ezra	Ezra
Neh	nihim	Nehemiah	Nehemiah
Est	eist	Esther	Esther
Job	iob	Job	Job
Psa	salm	Psalms	Psalmyn
Pro	seanf	Proverbs	Raaghyn Creeney
Ecc	coh	Ecclesiastes	Ecclesiastes
Sol	laoi	Song of Solomon	Arrane Solomon
Isa	isea	Isaiah	Isaiah
Jer	irim	Jeremiah	Jeremiah
Lam	olag	Lamentations	Dobberan
Eze	eiz	Ezekiel	Ezekiel
Dan	dain	Daniel	Daniel
Hos	hoise	Hosea	Hosea
Joe	ioeil	Joel	Joel
Amo	amos	Amos	Amos
Oba	ob	Obadiah	Obadiah
Jon	iona	Jonah	Jonah
Mic	mioca	Micah	Micah
Nah	nahum	Nahum	Nahum
Hab	hab	Habakkuk	Habakkuk
Zep	zaf	Zephaniah	Zephaniah
Hag	hag	Haggai	Haggai
Zac	zac	Zechariah	Zechariah
Mal	mal	Malachi	Malachi
Mat	matha	Matthew	Mian
Mar	marca	Mark	Mark
Luk	lucas	Luke	Luke
Joh	eoin	John	Ean
Act	gniomh	Acts	Jannoo
Rom	romh	Romans	Romanee
Co1	cor1	1 Corinthians	1 Corinthianee
Co2	cor2	2 Corinthians	2 Corinthianee
Gal	gal	Galatians	Galatianee
Eph	eif	Ephesians	Ephesianee
Phi	fil	Philippians	Philippianee
Col	col	Colossians	Colossianee
Th1	teas1	1 Thessalonians	1 Thessalonianee
Th2	teas2	2 Thessalonians	2 Thessalonianee
Ti1	tiom1	1 Timothy	1 Timothy
Ti2	tiom2	2 Timothy	2 Timothy
Tit	tit	Titus	Titus
Plm	file	Philemon	Philemon
Heb	eabh	Hebrews	Hebrewnee
Jam	seam	James	Screenyn Yamys
Pe1	pead1	1 Peter	1 Peddyr
Pe2	pead2	2 Peter	2 Peddyr
Jo1	eoin1	1 John	1 Ean
Jo2	eoin2	2 John	2 Ean
Jo3	eoin3	3 John	3 Ean
Jde	iud	Jude	Jude
Rev	apac	Revelations	Ashlish
