agin	ec shin
aginyn	ec shinyn
aim	ec mee
aims	ec mish
ain	ec shin
ainyn	ec shinyn
anynym	ayns mee
anynyms	ayns mish
assdaue	ass ad
assdauesyn	ass adsyn
assdiu	ass shiu
assdiuish	ass shiuish
assdoo	ass ad
assdooin	ass shin
assdooinyn	ass shinyn
assdoosyn	ass adsyn
assjee	ass ee
ass-jee	ass ee
assjeeish	ass ish
ass-jeeish	ass ish
assjeh	ass ee
assjehish	ass ish
ass-syn	ass eshyn
assyd	ass oo
assyds	ass uss
assym	ass mee
assyms	ass mish
awn	ayns eh
awnsyn	ayns eshyn
ayd	ec oo
ayds	ec uss
aym	ec mee
ayms	ec mish
ayn	ayns eh
ayndaue	ayns ad
ayndauesyn	ayns adsyn
ayndiu	ayns shiu
ayndiuish	ayns shiuish
ayndoo	ayns ad
ayndooin	ayns shin
ayndooinyn	ayns shinyn
ayndoosyn	ayns adsyn
aynin	ayns shin
ayninyn	ayns shinyn
aynjee	ayns ee
ayn-jee	ayns ee
aynjeeish	ayns ish
ayn-jeeish	ayns ish
aynsyn	ayns eshyn
aynyd	ayns oo
aynyds	ayns uss
aynym	ayns mee
aynyms	ayns mish
aynyn	ayns shin
aynynyn	ayns shinyn
daaue	da ad
daauesyn	da adsyn
dan	da yn
da'n	da yn
dasyn	da eshyn
daue	da ad
dauesyn	da adsyn
dauseyn	da adsyn
dhyt	da oo
dhyts	da uss
diu	da shiu
diuish	da shiuish
dooin	da shin
dooinyn	da shinyn
dooys	da mish
dou	da mee
douys	da mish
echey	ec eh
echeysyn	ec eshyn
echyssyn	ec eshyn
eck	ec ee
eckey	ec ee
eckish	ec ish
ecks	ec ish
ecksh	ec ish
eek	ec ee
eeksh	ec ish
erriu	er shiu
erriuish	er shiuish
# not erroo (== Ir. aireamh usually)
erroosyn	er adsyn
errym	er mee
erryms	er mish
ersyn	er eshyn
eu	ec shiu
euish	ec shiuish
feue	fo shiu
feueish	fo shiuish
foee	fo ee
f'oee	fo ee
foeeish	fo ish
f'oeeish	fo ish
foin	fo shin
foinyn	fo shinyn
fo'n	fo yn
fosyn	fo eshyn
fo-syn	fo eshyn
foue	fo ad
fouesyn	fo adsyn
foyd	fo oo
foyds	fo uss
foym	fo mee
foyms	fo mish
gollree	goll rish ee
gollreeish	goll rish ish
gollrhym	goll rish mee
gollrhyms	goll rish mish
gollrhyt	goll rish oo
gollrhyts	goll rish uss
gollrin	goll rish shin
gollrinyn	goll rish shinyn
gollrish	goll rish
goll-rish	goll rish
gollrishyn	goll rish eshyn
gollriu	goll rish shiu
gollriuish	goll rish shiuish
gollroo	goll rish ad
gollroosyn	goll rish adsyn
gollrym	goll rish mee
gollryms	goll rish mish
gollryt	goll rish oo
gollryts	goll rish uss
harree	harrish ee
harreeish	harrish ish
harrin	harrish shin
harrinyn	harrish shinyn
harrishdiu	harrish shiu
harrishdiuish	harrish shiuish
harrishyn	harrish eshyn
harriu	harrish shiu
harriuish	harrish shiuish
harroo	harrish ad
harroosyn	harrish adsyn
harryd	harrish oo
harryds	harrish uss
harrym	harrish mee
harryms	harrish mish
harrystoo	harrish ad
harrystoosyn	harrish adsyn
hiu	hug shiu
hiuish	hug shiuish
hood	hug oo
hoods	hug uss
hooin	hug shin
hooinyn	hug shinyn
huc	hug ad
hucsyn	hug adsyn
huggey	hug eh
huggeysyn	hug eshyn
hugsyn	hug eshyn
huic	hug ee
huicish	hug ish
huick	hug ee
huickish	hug ish
hyggey	hug eh
hyggeysyn	hug eshyn
hym	hug mee
hyms	hug mish
# but not jee (Dia)
j'ee	jeh ee
jeed	jeh oo
jeeds	jeh uss
jeeish	jeh ish
j'eeish	jeh ish
jeem	jeh mee
jee'm	jeh mee
jeems	jeh mish
jee'ms	jeh mish
j'eh	jeh eh
jehn	jeh yn
jeh'n	jeh yn
jehsyn	jeh eshyn
jeu	jeh ad
j'eu	jeh ad
jeusyn	jeh adsyn
j'eusyn	jeh adsyn
jin	jeh shin
j'in	jeh shin
jinyn	jeh shinyn
j'inyn	jeh shinyn
j'iu	jeh shiu
# but not "jiu" (inniu)
jiuish	jeh shiuish
j'iuish	jeh shiuish
leshyn	lesh eshyn
lhaim	lesh mee
lhaims	lesh mish
lhee	lesh ee
lh'ee	lesh ee
lheeish	lesh ish
lh'eeish	lesh ish
lhein	lesh shin
lheinyn	lesh shinyn
lhiam	lesh mee
lhiams	lesh mish
lhiat	lesh oo
lhiats	lesh uss
lhiee	lesh ee
lhieeish	lesh ish
lhiem	lesh mee
lhiems	lesh mish
lhien	lesh shin
lhienyn	lesh shinyn
lhieu	lesh ad
lhieuish	lesh shiuish
lhieusyn	lesh adsyn
lhiu	lesh shiu
lhiuish	lesh shiuish
liam	lesh mee
liams	lesh mish
liat	lesh oo
liats	lesh uss
lieriu	liorish shiu
lieriuish	liorish shiuish
lieu	lesh ad
lieusyn	lesh adsyn
lioree	liorish ee
lioreeish	liorish ish
liorin	liorish shin
liorinyn	liorish shinyn
liorishyn	liorish eshyn
lioroo	liorish ad
lioroosyn	liorish adsyn
liort	liorish oo
liorts	liorish uss
liorym	liorish mee
lioryms	liorish mish
maree	marish ee
mareeish	marish ish
marin	marish shin
mârin	marish shin
marinyn	marish shinyn
marishyn	marish eshyn
maroo	marish ad
maroosyn	marish adsyn
mart	marish oo
marts	marish uss
marym	marish mee
maryms	marish mish
mayrt	marish oo
mayrts	marish uss
meriu	marish shiu
meriuish	marish shiuish
miu	mysh shiu
miuish	mysh shiuish
moee	mysh ee
moeeish	mysh ish
moo	mysh ad
mood	mysh oo
moods	mysh uss
mooee	mysh ee
mooeeish	mysh ish
mooin	mysh shin
mooinyn	mysh shinyn
moom	mysh mee
mooms	mysh mish
moosyn	mysh adsyn
mychsyn	mysh eshyn
my-dty-chione	my dty chione
myechione	my e chione
my-e-chione	my e chione
myekione	my e kione
my-e-kione	my e kione
mygeayrt-e-mysh	mygeayrt e mysh
mygeayrt-e-myshyn	mygeayrt e mysh eshyn
mygeayrt-y-mish	mygeayrt y mysh
mygeayrt-y-mishyn	mygeayrt y mysh eshyn
mygeayrt-y-miu	mygeayrt y mysh shiu
mygeayrt-y-miuish	mygeayrt y mysh shiuish
mygeayrt-y-moo	mygeayrt y mysh ad
mygeayrt-y-mood	mygeayrt y mysh oo
mygeayrt-y-moods	mygeayrt y mysh uss
mygeayrt-y-mooee	mygeayrt y mysh ee
mygeayrt-y-mooeeish	mygeayrt y mysh ish
mygeayrt-y-mooin	mygeayrt y mysh shin
mygeayrt-y-mooinyn	mygeayrt y mysh shinyn
mygeayrt-y-moom	mygeayrt y mysh mee
mygeayrt-y-mooms	mygeayrt y mysh mish
mygeayrt-y-moosyn	mygeayrt y mysh adsyn
mygeayrt-y-mymboo	mygeayrt y mysh ad
mygeayrt-y-mymboosyn	mygeayrt y mysh adsyn
mygeayrt-ymysh	mygeayrt y mysh
mygeayrt-y-mysh	mygeayrt y mysh
mygeayrt-ymyshyn	mygeayrt y mysh eshyn
mygeayrt-y-myshyn	mygeayrt y mysh eshyn
mymboo	mysh ad
mymboosyn	mysh adsyn
my-my-chione	my my chione
mynyngione	my nyn gione
my-nyn-gione	my nyn gione
myshyn	mysh eshyn
my-y-chione	my y chione
oc	ec ad
ock	ec ad
ocksyn	ec adsyn
ocsyn	ec adsyn
orrin	er shin
orrinyn	er shinyn
orroo	er ad
orroosyn	er adsyn
orrym	er mee
orryms	er mish
orryn	er shin
orrynyn	er shinyn
ort	er oo
orts	er uss
r'ee	rish ee
# but not "ree" (rí)
reeish	rish ish
r'eeish	rish ish
reu	roish shiu
reue	roish shiu
reueish	roish shiuish
reuish	roish shiuish
rhoyd	roish oo
rhoyds	roish uss
rhoym	roish mee
rhoyms	roish mish
rhym	rish mee
rhymbee	roish ee
rhymbeeish	roish ish
rhymbiu	roish shiu
rhymbiuish	roish shiuish
rhymboo	roish ad
rhymboosyn	roish adsyn
rhyms	rish mish
rhyt	rish oo
rhyts	rish uss
rishyn	rish eshyn
riu	rish shiu
riuish	rish shiuish
roee	roish ee
roeeish	roish ish
roin	roish shin
roinyn	roish shinyn
roishyn	roish eshyn
roo	rish ad
rooin	rish shin
rooinyn	rish shinyn
roosyn	rish adsyn
roue	roish ad
rouesyn	roish adsyn
royd	roish oo
royds	roish uss
roym	roish mee
royms	roish mish
shagh'ain	shaghey shin
shagh'ainyn	shaghey shinyn
shaghee	shaghey ee
shagheeish	shaghey ish
shagheysyn	shaghey eshyn
shaghin	shaghey shin
shaghinyn	shaghey shinyn
shaghiu	shaghey shiu
shaghiuish	shaghey shiuish
shaghoo	shaghey ad
shaghoosyn	shaghey adsyn
shaghrym	shaghey mee
shaghryms	shaghey mish
shaghyd	shaghey oo
shaghyds	shaghey uss
shaghym	shaghey mee
shaghyms	shaghey mish
sy	ayns yn
'sy	ayns yn
s'y	ayns yn
syn	ayns yn
'syn	ayns yn
s'yn	ayns yn
urree	er ee
urreeish	er ish
veihn	veih yn
veih'n	veih yn
veihsyn	veih eshyn
veue	voish shiu
veueish	voish shiuish
voee	voish ee
vo'ee	voish ee
voeeish	voish ish
vo'eeish	voish ish
void	voish oo
voids	voish uss
voin	voish shin
voinyn	voish shinyn
voishyn	voish eshyn
vooee	voish ee
vooeeish	voish ish
voue	voish ad
vouesyn	voish adsyn
voyd	voish oo
voyds	voish uss
voym	voish mee
voyms	voish mish
ad-hene	ad hene
ain-hene	ec shin hene
ass-lieh	ass lieh
ayns-shoh	ayns shoh
ayn-yms	ayns mish
cre-erbee	cre erbee
cur-my-ner	cur my ner
dy-chooilley	dy chooilley
er-aggle	er aggle
er-dy-rieau	er dy rieau
er-lheh	er lheh
er-lhiam	er lesh mee
er-lhimmey	er lhimmey
er-sooyl	er sooyl
er-yn-oyr	er yn oyr
fo-chosh	fo chosh
fud-y-cheilley	fud y cheilley
gy-kione	gy kione
gyn-ayr	gyn ayr
my-mychione's	my my chione's
my-ner	my ner
nyn-dhost	nyn dhost
ry-akin	ry akin
ry-cheilley	ry cheilley
ry-heet	ry heet
ry-hoi	ry hoi
shen-y-fa	shen y fa
voir-'sy-leigh	voir ayns yn leigh
aym's	ec mish
mast'oc	mast' ec ad
orrym's	er mish
rhyt's	rish uss
r'ou	r' ou
sodjey-magh	sodjey magh
sodjey-mooie	sodjey mooie
sodjey-stiagh	sodjey stiagh
've	y ve
choud's	choud as
te	t' eh
v'echey	v' ec eh
t'ayn	t' ayns eh
v'ayn	v' ayns eh
t'aym	t' ec mee
v'aym	v' ec mee
